metsNoComp	example_met	model_name	chebi_id	chebi_preferred	category
MAM00553	MAM00553c	1-phosphatidyl-1D-myo-inositol-4-phosphate	CHEBI:17526	1-phosphatidyl-1D-myo-inositol 4-phosphate	stylistic
MAM00554	MAM00554c	1-phosphatidyl-1D-myo-inositol-5-phosphate	CHEBI:16500	1-phosphatidyl-1D-myo-inositol 5-phosphate	stylistic
MAM00640	MAM00640c	2-deoxy-D-ribose-5-phosphate	CHEBI:16132	2-deoxy-D-ribose 5-phosphate	stylistic
MAM00915	MAM00915c	3-phosphopolynucleotide	CHEBI:1359	3'-phosphopolynucleotide	stylistic
MAM00921	MAM00921c	3-UMP	CHEBI:28895	3'-UMP	stylistic
MAM01007	MAM01007c	4-hydroxy-tolbutamide	CHEBI:63799	4-hydroxytolbutamide	stylistic
MAM01020	MAM01020e	4-nitrophenyl-phosphate	CHEBI:17440	4-nitrophenyl phosphate	stylistic
MAM01167	MAM01167c	6-oxo-prostaglandin E1	CHEBI:28269	6-oxoprostaglandin E1	stylistic
MAM01394	MAM01394c	betaine_aldehyde	CHEBI:15710	betaine aldehyde	stylistic
MAM01402	MAM01402c	biotinyl-5-AMP	CHEBI:3110	biotinyl-5'-AMP	stylistic
MAM01420	MAM01420c	carbamoyl-phosphate	CHEBI:17672	carbamoyl phosphate	stylistic
MAM01512	MAM01512c	cholesterol-sulfate	CHEBI:41321	cholesterol sulfate	stylistic
MAM01731	MAM01731r	dolichyl-D-glucosyl-phosphate	CHEBI:15812	dolichyl β-D-glucosyl phosphate	stylistic
MAM01732	MAM01732c	dolichyl-diphosphate	CHEBI:15750	dolichyl diphosphate	stylistic
MAM01733	MAM01733c	dolichyl-phosphate	CHEBI:16214	dolichyl phosphate	stylistic
MAM01737	MAM01737c	dopamine-3-O-sulfate	CHEBI:37946	dopamine 3-O-sulfate	stylistic
MAM01767	MAM01767c	ecgonine-methyl ester	CHEBI:31529	ecgonine methyl ester	stylistic
MAM01837	MAM01837c	formylglutathione	CHEBI:16225	S-formylglutathione	stylistic
MAM02145	MAM02145c	hydrogen-cyanide	CHEBI:18407	hydrogen cyanide	stylistic
MAM02152	MAM02152c	hydroxymethylglutathione	CHEBI:48926	S-(hydroxymethyl)glutathione	stylistic
MAM02390	MAM02390c	linolenoyl-CoA	CHEBI:51985	α-linolenoyl-CoA	stylistic
MAM02480	MAM02480m	methylmalonyl-CoA	CHEBI:15466	(S)-methylmalonyl-CoA	stylistic
MAM02492	MAM02492c	myo-inositol-hexakisphosphate	CHEBI:17401	myo-inositol hexakisphosphate	stylistic
MAM02549	MAM02549c	N-acetyl-serotonin	CHEBI:17697	N-acetylserotonin	stylistic
MAM02600	MAM02600c	N-methylethanolamine-phosphate	CHEBI:16463	N-methylethanolamine phosphate	stylistic
MAM02660	MAM02660c	orotidine-5-phosphate	CHEBI:15842	orotidine 5'-phosphate	stylistic
MAM02670	MAM02670c	P1,P4-bis(5-adenosyl)-tetraphosphate	CHEBI:17422	P1,P4-bis(5'-adenosyl) tetraphosphate	stylistic
MAM02671	MAM02671c	P1,P4-bis(5-guanosyl)-tetraphosphate	CHEBI:15883	P1,P4-bis(5'-guanosyl) tetraphosphate	stylistic
MAM02767	MAM02767c	procollagen-5-hydroxy-L-lysine	CHEBI:51807	procollagen 5-hydroxy-L-lysine	stylistic
MAM02807	MAM02807c	pseudouridine-5-phosphate	CHEBI:18116	pseudouridine 5'-phosphate	stylistic
MAM02883	MAM02883c	sedoheptulose-1,7-bisphosphate	CHEBI:17969	sedoheptulose 1,7-bisphosphate	stylistic
MAM02884	MAM02884c	sedoheptulose-7-phosphate	CHEBI:15721	sedoheptulose 7-phosphate	stylistic
MAM02910	MAM02910c	S-methyl-5-thio-D-ribulose-1-phosphate	CHEBI:28096	S-methyl-5-thio-D-ribulose 1-phosphate	stylistic
MAM02928	MAM02928c	sphinganine-1-phosphate	CHEBI:16893	sphinganine 1-phosphate	stylistic
MAM03054	MAM03054c	trimethylamine-N-oxide	CHEBI:15724	trimethylamine N-oxide	stylistic
MAM03166	MAM03166c	sedoheptulose-1-phosphate	CHEBI:9082	sedoheptulose 1-phosphate	stylistic
MAM03243	MAM03243c	3-Hydroxy-Isovaleryl Carnitine	CHEBI:73027	3-hydroxyisovalerylcarnitine	stylistic
MAM03404	MAM03404e	acetaminophen-glutathione-conjugate	CHEBI:32639	acetaminophen glutathione conjugate	stylistic
MAM03751	MAM03751e	1-Arachidonoyl Glycerol	CHEBI:75612	1-arachidonoylglycerol	stylistic
MAM03923	MAM03923c	Sebacicacid	CHEBI:41865	sebacic acid	stylistic
MAM00341	MAM00341c	13,16,19-docosatrienoic acid	CHEBI:1038735		unresolved-chebi-id
MAM00604	MAM00604c	21-hydroxyallopregnanolone	CHEBI:805752		unresolved-chebi-id
MAM00623	MAM00623c	26-hydroxycholesterol	CHEBI:387060		unresolved-chebi-id
MAM00664	MAM00664m	2-methylbutyrylglycine	CHEBI:240943		unresolved-chebi-id
MAM00762	MAM00762g	3-beta-D-glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein	G00157		unresolved-chebi-id
MAM00821	MAM00821c	3-methoxytyramine	CHEBI:742324		unresolved-chebi-id
MAM01142	MAM01142r	6-(alpha-D-glucosaminyl)-1D-myo-inositol	G12396		unresolved-chebi-id
MAM01161	MAM01161c	6-hydroxymelatonin	CHEBI:308079		unresolved-chebi-id
MAM01315	MAM01315c	alloxan	CHEBI:730073		unresolved-chebi-id
MAM01368	MAM01368c	ascorbate	CHEBI:17208		unresolved-chebi-id
MAM01450	MAM01450c	cholesterol	CHEBI:1307929		unresolved-chebi-id
MAM01597	MAM01597c	CoA	CHEBI:1146900		unresolved-chebi-id
MAM01600	MAM01600m	cobamide-coenzyme	CHEBI:8408		unresolved-chebi-id
MAM01679	MAM01679c	D-galactosyl-N-acylsphingosine	CHEBI:12947		unresolved-chebi-id
MAM01766	MAM01766r	ecgonine	CHEBI:708641		unresolved-chebi-id
MAM01904	MAM01904c	GA1	G00124		unresolved-chebi-id
MAM01906	MAM01906g	Gal2-Xyl-L-Ser-[protein]	G00156		unresolved-chebi-id
MAM02197	MAM02197c	IV3GalNAca-Gb4Cer	G00095		unresolved-chebi-id
MAM02457	MAM02457c	mead acid	CHEBI:1306412		unresolved-chebi-id
MAM02477	MAM02477c	methylimidazoleacetic acid	CHEBI:8122		unresolved-chebi-id
MAM02498	MAM02498c	N,N-chitobiosyldiphosphodolichol	G00002		unresolved-chebi-id
MAM02522	MAM02522c	N-acetyl-D-glucosaminyldiphosphodolichol	G00001		unresolved-chebi-id
MAM02536	MAM02536m	N-acetyl-L-glutamate	CHEBI:12575		unresolved-chebi-id
MAM02736	MAM02736c	phosphatidylinositol-4,5-bisphosphate	CHEBI:28910		unresolved-chebi-id
MAM02744	MAM02744c	phylloquinone	CHEBI:583972		unresolved-chebi-id
MAM03091	MAM03091c	type I B glycolipid	G00039		unresolved-chebi-id
MAM03093	MAM03093c	type II A antigen	G00054		unresolved-chebi-id
MAM03136	MAM03136c	vanillylmandelate	CHEBI:1127735		unresolved-chebi-id
MAM03142	MAM03142c	vitamin D3	CHEBI:283119		unresolved-chebi-id
MAM03155	MAM03155c	xylitol	CHEBI:1305691		unresolved-chebi-id
MAM03156	MAM03156g	Xyl-L-Ser-[protein]	G00154		unresolved-chebi-id
MAM03569	MAM03569c	Cis,Cis-11,14-Eicosadienoic Acid	CHEBI:603631		unresolved-chebi-id
MAM03630	MAM03630e	Glycylproline	CHEBI:356660		unresolved-chebi-id
MAM03813	MAM03813e	1-Heptadecanoylglycerophosphocholine	CHEBI:580913		unresolved-chebi-id
MAM10011	MAM10011c	N-formyl-L-glutamate	CHEBI:21710		unresolved-chebi-id
