	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
							H+[c]	1	1								
	178	Synthesis of ubiquinone from tyrosine		tyrosine[m]	1	1	ubiquinone[m]	1	1								
				AKG[m]	1	1	glutamate[m]	1	1								
				all-trans-decaprenyl-diphosphate[m]	1	1	SAH[m]	3	3								
				SAM[m]	3	3	acetyl-CoA[m]	1	1								
				ATP[m]	1	1	AMP[m]	1	1								
				CoA[m]	1	1	PPi[m]	2	2								
				NADPH[m]	1	1	NAD+[m]	1	1								
				NADH[m]	1	1	CO2[m]	1	1								
				O2[m]	3	3	H2O[m]	2	2								
							NADP+[m]	1	1								
							H+[m]	1	1								
	179	Tetrahydrofolate synthesis		folate[c]	1	1	THF[c]	1	1								
				NADPH[c]	2	2	NADP+[c]	2	2								
				H+[c]	1	1											
	180	Pyridoxal-phosphate synthesis		pyridoxal[c]	1	1	pyridoxal-phosphate[c]	1	1								
				ATP[c]	1	1	ADP[c]	1	1								
							H+[c]	1	1								
	181	Synthesis of bilirubin		heme[c]	1	1	bilirubin[c]	1	1								
				NADPH[c]	0	4	H2O[c]	0	3								
				H+[c]	0	6	Fe2+[c]	0	1								
				O2[c]	0	3	Fe3+[c]	0	1								
				FADH2[c]	0	1	NADP+[c]	0	4								
							FAD[c]	0	1								
							CO[c]	1	1								
							NA[c]	0	1								
	182	Heme synthesis		glycine[m]	16	16	heme[m]	2	2								
				succinyl-CoA[m]	16	18	H2O[m]	26	26								
				Fe2+[m]	2	2	CoA[m]	16	18								
				H+[m]	16	18	NH4+[m]	8	8								
				O2[m]	5	10	CO2[m]	28	34								
	183	Phosphatidyl-inositol to glucosaminyl-acylphosphatidylinositol		PI pool[c]	1	1	glucosaminyl-acylphosphatidylinositol[c]	1	1								
				UDP-N-acetylglucosamine[c]	1	1	UDP[c]	1	1								
				H2O[c]	1	1	acetate[c]	1	1								
				palmitoyl-CoA[c]	1	1	CoA[c]	1	1								
							H+[c]	1	1								
	184	Glucosaminyl-acylphosphatidylinositoll to deacylated-glycophosphatidylinositol (GPI)-anchored protein		glucosaminyl-acylphosphatidylinositol[r]	1	10	gpi_prot heparan sulfate[r]	1	10								
				dolichyl-phosphate-D-mannose[r]	3	3	NA[r]	3	3								
				PE-LD pool[r]	3	30	H+[r]	6	30								
				glycophosphatidylinositol-(GPI)-anchored-protein-precursor[r]	1	10	1,2-diacylglycerol-LD-TAG pool[r]	3	30								
							gpi_sig[r]	1	10								
	185	Degradation of n2m2nmasn		n2m2nmasn[l]	1	1	mannose[l]	3	3								
				H2O[l]	8	8	N-acetylglucosamine[l]	5	5								
							[protein]-L-asparagine[l]	1	1								
	186	Biosynthesis of m4mpdol_U		dolichol[c]	0.1	1	G00006[c]	0.1	1								
				CTP[c]	1	2	CDP[c]	1	1								
				UDP-N-acetylglucosamine[c]	2	2	UMP[c]	1	1								
				GDP-mannose[c]	2	5	UDP[c]	1	1								
							GDP[c]	2	5								
							H+[c]	0	7								
	187	Biosynthesis of g3m8masn		G00006[r]	0.1	1	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r]	0.1	1								
				dolichyl-phosphate-D-mannose[r]	0.4	4	NA[r]	0.7	7								
				dolichyl-D-glucosyl-phosphate[r]	0.3	3	H+[r]	8	14								
				[protein]-L-asparagine[r]	1	1	NA[r]	0.1	1								
				GDP-mannose[c]	0	3	GDP[c]	0	3								
	188	Degradation of s2l2fn2m2masn		PA6[l]	1	1	mannose[l]	3	3								
				H2O[l]	12	12	N-acetylneuraminate[l]	2	2								
							[protein]-L-asparagine[l]	1	1								
							galactose[l]	2	2								
							6-deoxy-L-galactose[l]	1	1								
							N-acetylglucosamine[l]	4	4								
	189	Biosynthesis of core2 (beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R)		Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site)[g]	10	10	core 2[g]	2	10								
				UDP-N-acetyl-D-galactosamine[g]	10	10	UDP[g]	14	30								
				UDP-galactose[g]	2	10	H+[g]	14	30								
				UDP-N-acetylglucosamine[g]	2	10											
	190	Biosynthesis of core4 (N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R)		Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site)[g]	10	10	core 4[g]	2	10								
				UDP-N-acetyl-D-galactosamine[g]	10	10	UDP[g]	14	30								
				UDP-N-acetylglucosamine[g]	4	20	H+[g]	14	30								
	191	Biosynthesis of Tn_antigen (Glycoprotein N-acetyl-D-galactosamine)		Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site)[g]	1	1	Tn-antigen[g]	0.2	1								
				UDP-N-acetyl-D-galactosamine[g]	1	1	H+[g]	1	1								
							UDP[g]	1	1								
	192	Keratan sulfate biosynthesis from O-glycan (core 2-linked)		core 2[g]	1	1	keratan sulfate II (core 2-linked)[g]	1	1								
				CMP-N-acetylneuraminate[g]			CMP[g]										
				UDP-galactose[g]			H+[g]										
				UDP-N-acetylglucosamine[g]			UDP[g]										
				PAPS[g]			PAP[g]										
	193	Keratan sulfate biosynthesis from O-glycan (core 4-linked)		core 4[g]	1	1	keratan sulfate II (core 4-linked)[g]	1	1								
				UDP-galactose[g]			H+[g]										
				CMP-N-acetylneuraminate[g]			UDP[g]										
				UDP-N-acetylglucosamine[g]			CMP[g]										
				PAPS[g]			PAP[g]										
	194	Keratan sulfate degradation		keratan sulfate I[l]	1	1	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine[l]	1	1								
				H2O[l]			6-deoxy-L-galactose[l]										
							[protein]-L-asparagine[l]										
							N-acetylglucosamine[l]										
							N-acetylneuraminate[l]										
							H+[l]										
							sulfate[l]										
							galactose[l]										
	195	Keratan sulfate biosynthesis from N-glycan		l2fn2m2masn[g]	1	1	keratan sulfate I[g]	1	1								
				CMP-N-acetylneuraminate[g]			CMP[g]										
				UDP-N-acetylglucosamine[g]			H+[g]										
				UDP-galactose[g]			UDP[g]										
				PAPS[g]			PAP[g]										
